Defect ID,Linked Test ID,Severity,Surface,Title,Owner,Status,Repro Steps,Expected,Actual,Evidence Link,Fix Owner,Retest Owner,Retest Result,Release Decision,Notes,PostHog Hash,PostHog Sessions 7d,PostHog Users 7d,PostHog Session ID,PostHog Replay URL,Linear URL
D-001,PUB-001,P1,Public Website,Cached old landing page redirects users away from /fund,afo,Open,Visit greengoods.app/fund from a browser profile with the old landing page cached,Page loads /fund route,Redirects to outdated landing page; fresh profile + cache-bypass needed,https://linear.app/greenpill-dev-guild/issue/PRD-496,afo,,,,QA Sync 2026-05-13 — Matt Strachman,,2,2,,,https://linear.app/greenpill-dev-guild/issue/PRD-496
D-002,PUB-004,P0,Public Website,Connect Wallet button persists after wallet connected (blocks all wallet txns),afo,Open,1) Visit /fund. 2) Click Endow → Pay with Wrapped Ether. 3) Type amount. 4) Click Connect Wallet — modal opens showing connected wallet. 5) Close. CTA still says Connect Wallet. Repro on /cookies too.,"Once wallet connected, CTA transitions to Submit transaction",CTA stuck on Connect Wallet indefinitely; no submit path,https://linear.app/greenpill-dev-guild/issue/PRD-497,afo,,,,QA Sync 2026-05-13 — Matt Strachman · P0 release blocker,,2,2,,,https://linear.app/greenpill-dev-guild/issue/PRD-497
D-003,PUB-008,P2,Public Website,Cookie Jar balance requires manual page refresh,afo,Open,"Open /cookies, lack deposit token, swap on Arbitrum, return to /cookies — balance still zero until reload",Balance auto-updates (TanStack Query focus / chain event),Stale balance; manual reload required,https://linear.app/greenpill-dev-guild/issue/PRD-498,afo,,,,QA Sync 2026-05-13 — Afolabi Aiyeloja,,2,2,,,https://linear.app/greenpill-dev-guild/issue/PRD-498
D-004,PWA-AND-001,P1,PWA Android,"Brave install creates browser shortcut, not real PWA install",gferreira525,Open,Open greengoods.app in Brave on Android → tap Install. Open from home screen. Open greengoods.app in Brave again → install prompt re-appears.,"Either Brave installs PWA properly, or app detects Brave and warns",Brave installs shortcut only; user installs multiple times,https://linear.app/greenpill-dev-guild/issue/PRD-499,gferreira525,,,,QA Sync 2026-05-13 — Guilherme Ferreira,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-499
D-005,PWA-AND-002,P1,PWA Android,"""Updating"" state hangs 3+ minutes after Update App click",gferreira525,Open,"Install PWA via Chrome on Android, wait for in-app update prompt, tap Update — observe Updating screen hang >3 minutes",Service worker updates → reload → app on new version <30s,Stuck on Updating screen indefinitely,https://linear.app/greenpill-dev-guild/issue/PRD-500,gferreira525,,,,QA Sync 2026-05-13 — Guilherme Ferreira,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-500
D-006,PWA-AND-002,P2,PWA Android,"""Update App"" button shows even when on latest version",gferreira525,Open,"Install PWA, finish update if any — Update App button still rendered despite being on latest",Button gated on registration.waiting being non-null,Button always rendered,https://linear.app/greenpill-dev-guild/issue/PRD-501,gferreira525,,,,QA Sync 2026-05-13 — Guilherme Ferreira,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-501
D-007,PWA-AND-001,P1,PWA Android,"After uninstall, Chrome refuses to re-install (only shows Open the app)",gferreira525,Open,"Install PWA via Chrome on Android, uninstall, clear cache, open greengoods.app in Chrome — still only shows Open the app",Install prompt re-appears since PWA is no longer installed,Chrome treats manifest as already-installed even after uninstall,https://linear.app/greenpill-dev-guild/issue/PRD-502,gferreira525,,,,QA Sync 2026-05-13 — Guilherme Ferreira,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-502
D-008,PWA-AND-001,P1,PWA Android,Browser version stuck on Open the app page after install,gferreira525,Open,"Install PWA, open greengoods.app in Chrome browser — page only shows Open the app CTA; no login form, no website content",Browser version functions independently of installed-PWA presence,Detection logic dumps users into redirect-to-app intercept page,https://linear.app/greenpill-dev-guild/issue/PRD-503,gferreira525,,,,QA Sync 2026-05-13 — Guilherme Ferreira,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-503
D-009,XPLAT-001,P2,PWA Android,Profile page columns break on long garden names,gferreira525,Open,Open profile page for user in a garden with long name (30+ chars),Garden name truncates with ellipsis or wraps; columns stay aligned,Column breaks; can't read everything,https://linear.app/greenpill-dev-guild/issue/PRD-504,gferreira525,,,,QA Sync 2026-05-13 — Guilherme Ferreira,,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-504
D-010,PWA-IOS-003,P1,Cross Surface,Passkey created in browser doesn't transfer to PWA (architectural),afo,Open,"Create account on greengoods.app in browser using passkey, install PWA, open PWA, attempt passkey login",Same Google-stored passkey works across browser and PWA on same device,Separate keystore per environment; user must re-register,https://linear.app/greenpill-dev-guild/issue/PRD-505,afo,,,,"QA Sync 2026-05-13 — Guilherme Ferreira · architectural, blocked by passkey-removal decision",,,,,,https://linear.app/greenpill-dev-guild/issue/PRD-505
